Model,Train_AUC,Val_AUC,Test_AUC,Train_F1,Val_F1,Test_F1,Train_Acc,Val_Acc,Test_Acc
Random Forest,0.997,0.85,0.645,0.959,0.667,0.5,0.959,0.667,0.524
Logistic Regression,1.0,0.95,0.609,1.0,0.8,0.571,1.0,0.778,0.571
Xgboost,1.0,0.9,0.573,1.0,0.571,0.571,1.0,0.667,0.571
Lightgbm,1.0,1.0,0.573,0.974,0.857,0.421,0.973,0.889,0.476
